विठ्ठल vitthal
सराह sarah
सरला sarala
सारंगा saranga
सारंगी sarangi
सर्शिला sarshila
सरस्वती sarasvati
सरयु sarayu
सर्बिनी sarbini
सर्जिनी sarjini
सारीका sarika
सरीता sarita
सरनी sarani
सरोजा saroja
सरोज saroj
सरोजीनी sarojini
सरुची saruchi
सरुपा sarupa
सर्वानी sarvani
सर्वेश्वरी sarveshwari
सर्वांगीनी sarvangini
सर्वांगा sarvanga
सर्वजा sarvaja
सर्वलक्ष्मी sarvalaxmi
सर्विका sarvika
सासी sasi
सासिका sasika
सस्मिता sasmita
सतबिर satbir
सतगुण satgun
सथा satha
सथविका sathvika
सत्यप्रिया satyapriya
सतजिवन satjivan
सतकिरत satkirat
सतलीन satlin
सतप्रित satprit
सतवीर satvir
सात्विका satvika
सात्विकी satviki
सतवाणी satvani
सत्या satya
सत्यभामा satyabhama
सत्यकविता satyakavita
सत्यप्रिया satyapriya
सत्यवाणी satyavani
सत्यवल्ली satyavalli
सत्यवती satyavati
सौभाग्या saubhagya
सौभाग्या saubhagya
सौभाग्यलक्ष्मी saubhagyalaxmi
सौदामीनी saudamini
सौगंधी saugandhi
सौजन्या saujanya
सौजन्यप्रिया saujanyapriya
सौंदर्या saundarya
सौंदर्यलक्ष्मी saundaryalaxmi
सौमिनी saumini
सौमित्रा saumitra
सौम्या saumya
सौम्यी saumyi
सौंद्रा saundra
सौरभी saurabhi
सौर्या saurya
सविता savita
सायीथा sayitha
सावित्री savitri
स्वादा swada
सावदा savada
साया saya
सायली sayali
सायुरी sayuri
सिला sila
सीलिया siliya
सीमा seema
सीरत sirat
सीता seeta
सीतालु sitalu
सीतला sitala
सीतामा sitama
सेला sela
सेलाह selah
सेलिना selina
सेरेना serena
शादीया shadiya
शालिनी shalini
शबददीप shabaddeep
शबदप्रीत shabadpreet
शबाना shabana
शबनम shabnam
शदन shadan
शधा shadha
शादीयाह shadiyah
शागुफ्ता shaguphta
शगुन shagun
शाहीन shahin
शहनाज shahnaj
शैला shaila
शैलबाला shailbala
शैलकुमारी shailkumari
शैलजा shailaja
शैली shaili
शैवी shaivi
शाखा shakha
शाखिनी shakhini
शकु shaku
शकुंतला shakuntala
शालीन shalin
शालिका shalika
शालका shalaka
शालु shalu
शमा shama
शांभवी shambhavi
शांभवीकांता shambhavikanta
शमीना shamina
शक्ती shakti
शमी shami
शामिजा shamija
शमिका shamika
शमिला shamila
शमिता shamita
शामली shamali
शंखिनी shankhini
शंखमालीनी shankhmalini
शंखमुक्ता shankhmukta
शांता shanta
शांतलता shantlata
शांथी shanthi
शांती shanti
शारदा sharada
शरना sharana
शरनी sharani
शरनजीत sharanjeet
शरन्या sharanya
श्रद्धा shraddha
श्रद्धावती shraddhavati
शारी shari
शरीफा sharipha
शरेन sharen
शारिन sharin
शारीनी sharini
शरिफाह shariphah
शारीका sharika
शरीना sharina
शरीनी sharini
शर्लिन sharlin
शर्मिला sharmila
शर्मधा sharmadha
शर्मीन sharmeen
शर्मिली sharmili
शर्मिष्ठा sharmishtha
शर्वानी sharwani
शर्वरी sharwari
शर्वी sharvi
शर्वली sharwali
शशा shasha
शशी shashi
शशीकला shashikala
शशीकीरण shashikiran
शशीलेखा shashilekha
शशीप्रभा shashiprabha
शशीप्रिया shashipriya
शशीरेखा shashirekha
शशीनी shashini
शाश्वती shashvati
शाताक्षी shatakshi
शथा shatha
शतरूपा shatrupa
शवनी shavani
शवीना shavina
श्वेता shweta
शायना shayana
शाजीया shajiya
शीबा shiba
शीला shila
श्यामली shyamali
शीता shita
शीतल shital
शेफाली shephali
शेफालीका shephalika
शेहला shehala
शेखारी shekhari
शिबनी shibani
शिची shichi
शिखा shikha
शिखी shikhi
शिल्पा shilpa
शिल्पी shilpi
शिल्पीका shilpika
शिना shina
शिनत shinat
शिप्रा shipra
शिरीन shirin
शिरीशा shirisha
शिती shiti
शितिका shitika
शिउली shiuli
शिवा shiva
शिवजा shivaja
शिवकांता shivkanta
शिवली shivali
शिवांगी shivangi
शिवानी shivani
शिवनीजा shivnija
शिवांजली shivanjali
शिवांशी shivanshi
शिविका shivika
शिवप्रिता shivprita
शिवराणी shivrani
शिवसुंदरी shivsundari
श्लोका shloka
शोबा shoba
शोभा shobha
शोभना shobhana
शोभांगना shobhangana
शोभिनी shobhini
शोभवती shobhvati
शोभिता shobhita
शोधना shodhana
शोहीनी shohini
शोमिली shomili
शोना shona
शौर्या shaurya
श्रद्धा shraddha
श्रधावती shradhavati
श्रमिधी shramidhi
श्रंखला shrankhala
श्रावणी shravani
श्रावंथी shravanthi
श्रवंतीका shravantika
श्रवया shravaya
श्रीहरा shrihara
श्रीरूपा shrirupa
श्रीजल shrijal
श्रेना shrena
श्रेष्टा shreshta
श्रेष्ठी shreshthi
श्रेवा shreva
श्रेया shreya
श्रेयसी shreyasi
श्री shri
श्रीदेवी shridevi
श्रीगौरी shrigauri
श्रीदुला shridula
श्रीगीता shrigita
श्रीकीर्ती shrikirti
श्रीकुमारी shrikumari
श्रीकुवारी shrikuwari
श्रीलेखा shrilekha
श्रीमंजिरी shrimanjiri
श्रीपमा shripama
श्रीपदा shripada
श्रीका shrika
श्रीकला shrikala
श्रीकमा shrikama
श्रीला shrila
श्रीलक्ष्मी shrilaxmi
श्रीमायी shrimayi
श्रीष्टी shrishti
श्रीटी shriti
श्रीतिका shritika
श्रीवली shrivali
श्रीविद्या shrividya
श्रीया shriya
श्रीयादीता shriyadita
श्रुजना shrujana
श्रुजेश्वरी shrujeshwari
श्रुस्टी shrusti
श्रुताली shrutali
श्रुती shruti
श्रुतिका shrutika
श्रुथिका shruthika
श्रुतुजा shrutuja
शुभा shubha
शुभाली shubhali
शुभांगी shubhangi
शुभदा shubhada
शुभी shubhi
शुभिका shubhika
शुभ्रा shubhra
शुभ्रिता shubhrita
शुची shuchi
शुचिका shuchika
शुचिता shuchita
शुद्धी shuddhi
शुक्ला shukla
शुलेती shuleti
शुलिनी shulini
शुंदोरी shundori
शुष्मा shushma
श्वेता shweta
श्वीटा shwita
श्वेताली shwetali
श्वेतपुष्पा shwetpushpa
श्विती shwiti
श्यामा shyama
श्यामला shyamala
श्यामली shyamali
श्यामिनी shyamini
श्यामिका shyamika
श्यामलिका shyamalika
सिद्दा sidda
सिद्धमा siddhama
सिद्धनी siddhani
सिद्धेश्वरी siddheshwari
सिद्धी siddhi
सिद्धिका siddhika
सिधी sidhi
सिहाम siham
सिहम siham
सिलांबु silambu
शिल्पा shilpa
सिमर simar
सिमरदीप simardeep
सिमरलीन simarleen
सिंधु sindhu
सिंधुरा sindhura
सिंधुजा sindhuja
सिमिता simita
सिमरन simran
सिमरनप्रीत simranpreet
सिमरीत simrit
सिंहयना sinhyana
सिरीशा sirisha
सोमिला somila
सिरी siri
सिता sita
सितारा sitara
सितेशा sitesha
सिवांविता sivanvita
सोहीनी sohini
सिवाज्योती sivajyoti
सिवकानी sivkani
सिवकुमारी sivkumari
सिवलीला sivlila
सिवनंदीनी sivnandini
सोमलक्ष्मी somlaxmi
सिवानी sivani
सिवनेश्वरी sivneshwari
सिवमंजिरी sivmanjiri
सिवसती sivsati
सिवतेजा sivteja
सोमना somana
सिया siya
सियोना siyona
स्कंदा skanda
स्कंदजीत skandjeet
स्कंधा skandha
सोमवती somvati
स्मरनी smarani
स्मिरा smira
स्मिता smita
स्मितांगी smitangi
स्मिथा smitha
सोना sona
स्मृता smrita
स्मृती smriti
स्नेह sneh
स्नेहा sneha
स्नेहल snehal
सोनाक्षी sonakshi
स्नेहलता snehlata
स्नेही snehi
स्नेहवती snehvati
स्निग्दा snigda
स्निकीता snikita
सोनाली sonali
शोबाईका shobaika
सोभोनिका sobhonika
सोभना sobhana
सोभिनी sobhini
सोमर somar
सोनालिका sonalika
सोनम sonam
सोनीरा sonira
सोनिया soniya
सोनिका sonika
सोनिता sonita
सूदामणी sudamani
सूर्यपंखा suryapankha
सूर्यमणी suryamani
सूर्यमुखी suryamukhi
सौगंदीका saugandika
सौक्ख्या saukkhya
सौमिती saumiti
सौम्या saumya
सौम्यता saumyata
सौरभा saurabha
स्पंदना spandana
स्पूर्ती spurti
स्पृही spruhi
सुभाषीनी subhashini
सुभा subha
सुभद्रा subhadra
सुभप्रदा subhprada
सुभी subhi
सुभिक्षा subhiksha
सुभ्रा subhra
सुभुधी subhudhi
सुबिक्षा subiksha
सुबोधिनी subodhini
सुचित्रा suchitra
सुचेता sucheta
सुछाया suchhaya
सुची suchi
सुचिता suchita
सुदीपा sudipa
सुदीती suditi
सुदेशा sudesha
सुदेशना sudeshana
सुदेवा sudeva
सुदेवी sudevi
सुधा sudha
सुधामाला sudhamala
सुधामयी sudhamayi
सुधर्मा sudharma
सुधिरा sudhira
सुधी sudhi
सुदीक्षा sudiksha
सुदीप्ता sudipta
सुदीती suditi
सुगमा sugama
सुगंधा sugandha
सुगती sugati
सुघमा sughama
सुगुना suguna
सगुना saguna
सगुनी saguni
सुहा suha
सुहागी suhagi
सुहानी suhani
सुहाना suhana
सुहास suhas
सुहासीनी suhasini
सुहीना suhina
सुहीता suhita
सुजा suja
सुजाता sujata
सुजला sujala
सुजना sujana
सुकुमारी sukumari
सुजया sujaya
सुकेशी sukeshi
सुख्बिर sukhbir
सुललिता sulalita
सुखदा sukhada
सुखदीप sukhdip
सुखदेई sukhdei
सुखजिव sukhjiv
सुलोचना sulochana
सुखलीन sukhlin
सुखमनी sukhmani
सुखमीत sukhmit
सुखना sukhana
सुलताना sultana
सुखनाम sukhnam
सुखप्रीत sukhpreet
सुखारी sukhari
सुखरूप sukhrup
सुमा suma
सुखविर sukhvir
सुकिर्ती sukirti
सुकीर्त sukirt
सुकृती sukriti
सुकेशा sukesha
सुमेधा sumedha
सुकेशी sukeshi
सुलेखा sulekha
सुलक्षा sulaksha
सुलक्षना sulakshana
सुमला sumala
सुमलता sumlata
सुमालीनी sumalini
सुमन suman
सुमनबाला sumanbala
सुमनलता sumanlata
सुमना sumana
सुमंगला sumangala
सुमंगली sumangali
सुमती sumati
सुमावली sumavali
सुमैया sumaiya
सुमेर sumer
सुमि sumi
सुमिता sumita
सुमिथा sumitha
सुमित्रा sumitra
सुमोना sumona
सुमुखी sumukhi
सुनैना sunaina
सुंदरी sundari
सुनंदा sunanda
सुनिती suniti
सुनंदीनी sunandini
सुनंदीता sunandita
सुनयना sunayana
सुंदरा sundara
सुंदरजीत sundarjeet
सुंदरवीर sundarveer
सुनीला sunila
सुनीता sunita
सुनीथा sunitha
सुनीती suniti
सुनेत्रा sunetra
सुनिशा sunisha
सुनिस्का suniska
सुपर्णा suparna
सुपर्णी suparni
सुप्रभा suprabha
सुप्रजा supraja
सुप्रिता suprita
सुप्रिमा suprima
सुप्रिती supriti
सुप्रिया supriya
सुरेखा surekha
सुरैया suraiya
सुरक्षा suraksha
सुराली surali
सुरंगी surangi
सुरंजना suranjana
सुरसा surasa
सुरंजिता suranjita
सुरवी suravi
सुरबाला surbala
सुरेणु surenu
सुरेशी sureshi
सुरेश्वरी sureshwari
सुरेष्ठा sureshtha
सुरीमा surima
सुरीना surina
सुरींदर surindar
सुरींदरजीत sureendarjeet
सुरजा suraja
सुरजित surjit
सुरजोत surjot
सुरोचना surochana
सुरूपा surupa
सुर्यदीता suryadita
सुरुची suruchi
सुर्यलता suryalata
सुर्यमुखी suryamukhi
सुर्यानी suryani
सुशीला sushila
सुशंता sushanta
सुशांती sushanti
सुशिता sushita
सुष्मा sushma
सुष्मिता sushmita
सुश्री sushri
सुसिता susita
सुवंदना suvandana
सुवली suvali
सुवर्चला suvarchala
सुवर्णा suvarna
सुवर्णलता suvarnalata
सुवर्णमाला suvarnamala
सुवर्णरेखा suvarnarekha
सुवर्णप्रभा suvarnaprabha
सुवर्णज्योती suvarnajyoti
सुवर्णमुखी suvarnamukhi
सुवर्णश्री suvarnashri
सुवर्णसुंदरी suvarnasundari
सुवासिका suvasika
सुवेगा suvega
सुवेना suvena
सुवेशा suvesha
सुविधा suvidha
सुविना suvina
सुविशाला suvishala
सुविथ suvith
सुव्रता suvrata
स्वहा swaha
स्वप्निका swapnika
स्वाती svati
स्वाधी swadhi
स्वेता sweta
स्वना swana
स्वप्ना swapna
स्वप्नरंगिला swapnarangila
स्वप्नप्रिया swapnapriya
स्वरा swara
स्वरलक्ष्मी swarlaxmi
स्वर्णा swarna
स्वर्णबाला swarnabala
स्वर्णदुर्गा swarnadurga
स्वर्णलता swarnalata
स्वर्णमाला swarnamala
स्वर्णप्रिया swarnapriya
स्वरुपा swarupa
स्वित्रा switra
स्वाधा swadha
स्वप्निला swapnila
स्वर्णपुष्पा swarnapushpa
स्वर्निका swarnika
स्वरूपा swarupa
स्वस्ती swasti
स्वतिका svatika
स्वाती svati
स्यामा syama
स्यामला syamala
स्वर्निका swarnika
ताहीरा tahira
तारा tara
तारादेवी taradevi
तारका taraka
तबस्सुम tabassum
तेजा teja
तेजस्वीनी tejaswini
तेजो tejo
तेजोवती tejovati
ताज taj
तकदीर takdir
तकीयाह takiyah
तालख्या talakhya
तालीबाह talibah
तालिका talika
तलिसा talisa
तलिषा talisha
तल्ली talli
तलुनी taluni
तमाधुर tamadhur
तामली tamali
तमालिका tamalika
तमालिनी tamalini
तमन्ना tamanna
तमराज tamraj
तामशी tamashi
तमस्वीनी tamaswini
तमयंती tamyanti
तमी tami
तमिया tamiya
तामिया tamiya
ताम्री tamri
तमसा tamasa
तमसिन tamsin
तनक tanak
तनया tanaya
तनाज tanaj
तंद्रा tandra
तनी tani
तनिया taniya
तनिका tanika
तनिमा tanima
तनिरीका tanirika
तनिष्का tanishka
तनिशी tanishi
तंजा tanja
तन्मया tanmaya
तन्मयी tanmayi
तनिष्ठा tanishtha
तंशी tanshi
तंशु tanshu
तनु tanu
तनुजा tanuja
तनुभवा tanubhava
तनुका tanuka
तनुलता tanulata
तन्वी tanvi
तनुषा tanusha
तनुश्री tanushri
तपया tapaya
तपनी tapani
तपस्या tapasya
तपसी tapasi
तापती tapati
तापी tapi
तप्ती tapti
तारा tara
तारीनी tarini
तरल taral
तरला tarala
तारामती taramati
तारांगीनी tarangini
तरन taran
तरना tarana
तरंग tarang
तरंगी tarangi
तारंगिका tarangika
तरनी tarani
तरन्नुम tarannum
तारावती taravati
तारीका tarika
तारीनी tarini
तारीशी tarishi
तर्निजा tarnija
तरुना taruna
तर्पणा tarpana
तर्पिनी tarpini
तारु taru
तारूब tarub
तरुनी taruni
तरुनिका tarunika
तरुनिमा tarunima
तारुशी tarushi
तर्ज tarj
तसलीम taslim
तसलीमा taslima
तस्मिन tasmin
तातुम tatum
तौरी tauri
तवंगी tavangi
ताविशी tavishi
तीजन tijan
तीजी teeji
तीकरी tikari
तीला teela
टीना teena
तेजल tejal
तेजन tejan
तेजस्वी tejasvi
तेजस्विनी tejasvini
तेजस्विता tejasvita
तेजबिर tejbir
तेजका tejaka
तेजवती tejvati
तेकरूप tekrup
तसु tasu
तिकली tikali
तितली titali
तिकला tikala
तिलिका tilika
तिर्थवती tirthavati
तिशा tisha
तिष्ठा tishtha
तिथी tithi
तिटीक्षा titiksha
तिया tiya
तियना tiyana
तोशिनी toshini
तोया toya
त्रयी trayi
त्रेया treya
त्रिंबिका trimbika
त्रिधरा tridhara
त्रिदीवा tridiva
त्रिगुना triguna
त्रिज्या trijya
त्रिकया trikaya
त्रिलोचना trilochana
त्रिप्ता tripta
त्रिप्ती tripti
तृप्ती trupti
त्रिपुरा tripura
त्रिपुरी tripuri
त्रिपुर्णा tripurna
त्रिपुता triputa
त्रिशा trisha
त्रिशक्ती trishakti
त्रिशाला trishala
त्रिशना trishana
त्रिष्ना trishna
त्रिशोना trishona
त्रिती triti
त्रिवेनी triveni
त्रिवा triva
त्रिया triya
त्रियमा triyama
त्रुशा trusha
तृष्णा trushna
तुही tuhi
तुहीना tuhina
तुलिका tulika
तुंगी tungi
तुर्वी turvi
तुरया turaya
तुषारा tushara
तुषिता tushita
तुष्टी tushti
उचिता uchita
उदंतिका udantika
उदया udaya
उदयबाला udaybala
उदयभानु udaybhanu
उदयेश्वरी udayeshwari
उदयलक्ष्मी udaylaxmi
उदयांजली udayanjali
उदयश्री udayshri
उदभावना udbhavana
उदेली udeli
उदेश्री udeshri
उदगती udgati
उदगिता udgita
उदगिती udgiti
उदिची udichi
उदीप्ती udipti
उदीता udita
उदीती uditi
उदयती udayati
उजाला ujala
उजाली ujali
उजास ujas
उज्वला ujwala
उज्वलता ujwalata
उजयती ujyati
उजयनी ujyani
उजेशा ujesha
उजियरी ujiyari
उज्जलरूपा ujjalrupa
उजावला ujawala
उक्ती ukti
उल्का ulka
उमा uma
उमाबाला umabala
उमालता umalata
उमंगा umanga
उमायल umayal
उमिका umika
उंजली unjali
उन्नती unnati
उन्नी unni
उपाधी upadhi
उपासना upasana
उपेक्षा upeksha
उपेंद्रा upendra
उपकीरत upkirat
उपलब्धी uplabdhi
उपमिती upmiti
उपनिता upnita
उपनिती upniti
उरशिला urshila
उरिशिता urishita
उरीया uriya
उर्जिता urjita
उरीता urita
उर्मी urmi
उर्मिका urmika
उर्मिल urmil
उर्मिला urmila
उर्ना urna
उर्शिला urshila
उर्सुला ursula
उरुकिर्ती urukirti
उर्वली urvali
उर्वरा urvara
उर्वशी urvashi
उर्वी urvi
उषा usha
उषाबाला ushabala
उषाराणी usharani
उषाश्री ushashri
उषी ushi
उष्मा ushma
उष्ठा ushtha
उसरा usara
उतालिका utalika
उत्कला utkala
उत्कलिता utkalita
उत्कनिका utkanika
उत्कनाथा utkanatha
उत्कर्षा utkarsha
उत्कंठा utkantha
उत्खला utkhala
उत्पला utpala
उत्पलक्षी utpalakshi
उत्प्रेक्षा utpreksha
उत्प्रेरना utprerana
उत्लिका utlika
उत्तमा uttama
उत्सा utsa
उत्तमगंधा uttamgandha
उत्तमजोत uttamjot
उत्तमलीन uttamleen
उत्तमप्रीत uttampreet
उत्तमरूप uttamrup
वागाई vagai
वागदेवी vagdevi
वागेश्वरी vageshwari
वाघिरा waghira
वहीनी vahini
वहीनीता vahinita
वहीनिका vahinika
वानंदी vanandi
वनी vani
वनिका vanika
वन्या vanya
वर्जिता varjita
वर्षिका varshika
वरुनी varuni
वासमती vasmati
वासवी vasavi
वासुकी vasuki
वाचा vacha
वाचिका vachika
वदना vadana
वदीयु vadiyu
वागीषा vagisha
वेदावली vedavali
वेदावती vedavati
वेनी veni
वागीश्वरी vagishwari
वहीदा vahida
वैभवी vaibhavi
वैदही vaidahi
वैदर्भी vaidarbhi
वैनवी vainavi
वैरम vairam
वैशाखा vaishakha
वैशाखी vaishakhi
वैशाली vaishali
वैशवी vaishavi
वैष्णवी vaishnavi
वैरा vaira
वैरेश्वरी vaireshwari
वकुला vakula
वकुली vakuli
वला vala
वल्लभा vallabha
वल्लराज vallaraj
वल्ली valli
वल्लीका vallika
वामा vama
वामाक्षी vamakshi
वंदना vandana
वंदीता vandita
वमिका vamika
वमिला vamila
वमिता vamita
वंशी vanshi
वनजा vanaja
वनकुमारी vankumari
वनालिका vanalika
वनराणी vanrani
वंचिता vanchita
वंदा vanda
वंदानी vandani
वनिषा vanisha
वनिता vanita
वंगला vangala
वानही vanahi
वानिनी vanini
वनश्री vanshri
वंजी vanji
वंजुळा wanjula
वंजुळी wanjuli
वनलता vanlata
वनलुक्ष्मी vanluxmi
वनमाला vanmala
वनमाली vanmali
वनमायी vanmayi
वनमोळी vanmoli
वंशी vanshi
वंशिका vanshika
वंशिता vanshita
वनुता vanuta
वरदा varada
वरळी varali
वरना varana
वरनी varani
वर्दा varda
वरी vari
वरीदी varidi
वरलक्ष्मी varlaxmi
वर्धनी vardhani
वरीज varij
वरीजा varija
वरीना varina
वरीनी varini
वर्णा varna
वर्णिका varnika
वर्नु varnu
वर्षा varsha
वर्षका varshaka
वर्षना varshana
वर्षिनी varshini
वर्षिता varshita
वर्तिका vartika
वरुदा varuda
वरुना varuna
वरुनवी varunavi
वरूनी varuni
वरुनिका varunika
वर्या varya
वसंता vasanta
वसंती vasanti
वसंतप्रभा vasantprabha
वसंतशोभा vasantshobha
वसंतीका vasantika
वसंतीया vasantiya
वासवी vasavi
वसुधा vasudha
वसुदा vasuda
वसुधारीनी vasudharini
वसुधरा vasudhara
वसुमती vasumati
वसुंधरा vasundhara
वसुंधरा vasundhara
वसुपुत्रा vasuputra
वसुप्रभा vasuprabha
वसुपत्रा vasupatra
वत्सला vatsala
वेदांती vedanti
वेधा vedha
वेदा veda
वेदीजा vedija
वेदीका vedika
वेदीना vedina
वीक्षा viksha
वीना veena
वीनापानी vinapani
वीनावती vinavati
वीरा veera
वीरबाला virbala
वीरींदर virindar
वीरुधा virudha
वीरवती virvati
वेगवती vegvati
वेना vena
वेनाह venah
वेनी veni
वेनिका venika
वेनिषा venisha
वेनु venu
वेनुका venuka
वेनुमती venumati
वेन्या venya
विबाली vibali
विभा vibha
विभावरी vibhavari
विभक्ती vibhakti
विभावना vibhavana
विभावती vibhavati
विभुती vibhuti
विभुषना vibhushana
विभुषा vibhusha
विदीशा vidisha
विधेया vidheya
विधी vidhi
विधिशा vidhisha
विधु vidhu
विधुला vidhula
विध्या vidhya
विध्यालक्ष्मी vidhyalaxmi
विदीता vidita
विदुषी vidushi
विद्या vidya
विद्यादेवी vidyadevi
विद्याधरी vidyadhari
विद्याराणी vidyarani
विद्यावती vidyavati
विद्युल्लता vidyullata
विद्युतप्रभा vidyutprabha
विघ्नेश्वरी vighneshwari
विजेता vijeta
विजया vijaya
विजयदुर्गा vijaydurga
विजयलता vijaylata
विजयलुक्ष्मी vijayluxmi
विनी vini
विनिषा vinisha
विनिता vinita
विनुता vinuta
विन्या vinya
विपंची vipanchi
विपाशा vipasha
विप्रा vipra
विपुला vipula
विराली virali
विरासा virasa
विरेंद्री virendri
विरीका virika
विरया viraya
विरुपा virupa
विरुनी viruni
विरजा viraja
विसाला visala
विशारदा visharada
विसल्या visalya
विशा visha
विशाखा vishakha
विशाला vishala
विशालक्ष्मी vishalaxmi
विशाली vishali
विश्लेशा vishlesha
विष्मा vishma
विष्णुकल्पा vishnukalpa
विष्णुलक्ष्मी vishnulaxmi
विष्णुप्रिया vishnupriya
विष्णुवर्धिनी vishnuvardhini
विश्रांती vishranti
विश्रीती vishriti
विश्वा vishwa
विस्वधारा visvadhara
विश्वकाया vishwakaya
विश्वमोहीनी vishwamohini
विश्वमुखी vishwamukhi
विश्वपर्णी vishwaparni
विश्वगंधा vishwagandha
विश्वगंगा vishwaganga
विश्वजा vishwaja
विश्वमाता vishwamata
विश्वंभरा vishwambhara
विस्मया vismaya
विस्मिता vismita
विस्तारीनी vistarini
विश्वेश्वरी vishweshwari
विश्वकला vishwakala
विश्वकल्पा vishwakalpa
विश्वासीता vishwasita
विश्वरुपा vishwarupa
विती viti
विथिका vithika
विवेका viveka
विवला vivala
विविधा vividha
वियाती viyati
वृंदा vrinda
वृंदीता vrindita
वृचिका vrichika
वृषा vrisha
वृषाली vrishali
वृष्टी vrishti
वृश्या vrishya
वृत्ती vritti
वृतिका vritika
व्याख्या vyakhya
व्यंजना vyanjana
व्योमा vyoma
व्योमिनी vyomini
वफा vapha
वफीका vaphika
वफीकाह vaphikah
वहीया vahiya
वजीहा vajiha
वर्दा varda
वतीब vatib
वनीता vanita
वफिया vaphiya
यादवती yadvati
यालीनी yalini
याचना yachana
यामिनी yamini
याचना yachana
यादलीन yadlin
यादवी yadavi
यग्ना yagna
याजुशी yajushi
यल्लम्मा yallamma
यमी yami
यमला yamala
यामिका yamika
यामिनीप्रभा yaminiprabha
यमुना yamuna
यमुनी yamuni
यमवती yamvati
याना yana
यांती yanti
यशस्वीनी yashaswini
यशा yasha
यशदा yashada
यशश्री yashshri
यशस्वी yashasvi
यशीला yashila
याशिका yashika
यशिता yashita
यशोदा yashoda
यशोधरा yashodhara
यशोलक्ष्मी yasholaxmi
यशोमती yashomati
यशुमती yashumati
यशविनी yashvini
यास्मीन yasmin
यस्ती yasti
यवनिका yavnika
यवी yavi
यवना yavana
योगबाला yogbala
योगेश्वरी yogeshwari
योगलक्षी yoglakshi
योगिनी yogini
योगिता yogita
योगकुमारी yogkumari
योगा yoga
योगंता yoganta
योगधरा yogdhara
योगिनी yogini
योगिता yogita
योगमाया yogmaya
योगमयी yogmayi
योगमित्रा yogmitra
योगप्रभा yogprabha
योग्या yogya
योग्यता yogyata
योजना yojana
योशा yosha
योशिता yoshita
युक्ता yukta
युक्ती yukti
युक्तीका yuktika
युतिका yutika
युवालक्ष्मी yuvalaxmi
युवामणी yuvamani
युवाराणी yuvarani
जाफिरा japhira
जहीरा jahira
झईदा zaida
झईना zaina
झलक zalak
जोहरा johara
हंसप्रिया hanspriya
हेमलता hemlata
हेमशिखा hemshikha
हिमजा himaja
ह्रुदयवल्ली hrudayvalli
ईरजा iraja
ईशया ishaya
ईशता ishata
जानकीप्रीया janakipriya
जगदंबा jagdamba
जगदीश्वरी jagdishwari
जगदप्रीया jagadpriya
जयगौरी jaygauri
जयशना jayshana
जयश्री jayshri
जयश्री jayshri
जयनिका jaynika
जयश्वरी jayshwari
जनप्रिया janpriya
जयप्रिया jaypriya
जोगप्रिया jogpriya
जयपद्मा jaypadma
जयलक्ष्मी jaylaxmi
कमलाक्ष kamalaksh
कमलापती kamalapati
कमलेश्वर kamaleshwar
कमलोत्तम kamalottam
कमलाक्षी kamalakshi
कमलाक्षा kamalaksha
कमलिका kamalika
कमलिनी kamalini
कमलावती kamalavati
कमलनयनी kamalnayani
कनकमुद्रा kanakmudra
कनकलक्ष्मी kanaklaxmi
कनकप्रभा kanakprabha
कनकप्रिया kanakpriya
कणकवली kankavali
कांचनाक्षी kanchnakshi
कांचनाक्षी kanchnakshi
कंकनिका kanknika
काशवी kashavi
कटरीना katrina
खुशप्रित khushprit
कोमलिका komlika
किशमिश kishmish
लवनीत lavnit
माधवीप्रिया madhavipriya
मानसिका manasika
मानसिका manasika
मदनललिता madanlalita
मलयनील malayneel
मनस्वीनी manaswini
मानवता manvata
मंदारमलीका mandarmalika
मनकवडी mankawadi
मेहरुनिशा mehrunisha
मौलाश्री maulashri
मनकवडी mankawadi
मृदल mridal
मुहजा muhaja
मुहजा muhaja
मदनरेखा madanrekha
नागलक्ष्मी naglaxmi
नागमलिका nagmalika
नागरत्ना nagratna
नेहरीका nehrika
ओर्पिता orpita
पल्लविका pallavika
पल्लविनी pallavini
पंकजाक्षी pankajakshi
पंकजम pankajam
पंकजिनी pankajini
पंकजश्री pankajshri
परमेश्वरी parmeshwari
प्रभद्रा prabhadra
प्रभजित prabhjit
प्रभजोत prabhjot
प्रकल्पना prakalpana
प्रवल्लिका pravallika
प्रियदुता priyaduta
प्रियकांशी priyakanshi
प्रियशा priyasha
प्रियतमा priyatama
प्रियवंदा priyavanda
प्रियव्रता priyavrata
प्रियवदनी priyavadani
रामलक्ष्मी ramlaxmi
रामप्रिया rampriya
रामजननी ramjanani
राघवेश्वरी raghaweshwari
राजलक्ष्मी rajlaxmi
राजप्रिया rajpriya
राजगरीमा rajgarima
राजनंदीनी rajnandini
राजरीता rajrita
रामजयंती ramjayanti
रमणदीप ramandeep
रामागमनी ramagamani
रामगमना ramgamana
रसप्रिया raspriya
रोशनारा roshnara
रुद्रलता rudralata
सागरकन्या sagarkanya
समता samata
सायीकमला sayikamala
सायीकरुना sayikaruna
साईकमला saikamala
साईकरुना saikaruna
सबरीया sabriya
समरा samara
समया samaya
समाली samali
सुदक्षना sudakshana
सुदक्षनी sudakshani
सुनयनी sunayani
सचप्रित sachprit
सलवाराणी salvarani
संतानलक्ष्मी santanlaxmi
सारन्या saranya
शहरजाद shaharjad
शैलशिखा shailshikha
शिवप्रिया shivpriya
श्यामलता shyamlata
सुगन्या suganya
सुकन्या sukanya
