अनुत्तम anuttam
जहागीरमोह jahagirmoh
मिनचेखुर्द minchekhurd
मुताय्यिब mutayyib
देवग्रा devagra
कानन kanan
उदयकुमार udaykumar
कोकणगा koknaga
वासिम vasim
वागेश्वर bageshwar
काकाहुआमील्पा cacahuamilpa
चिंतनिका chintnika
सिंहयना sinhyana
बंधन bandhan
एरीस्टोटल aristotle
नेहरु neharu
जाहज jahajj
सचेतन sachetan
खुटल khutal
खंडूर khandur
प्रतोश pratosh
फिन finn
ऑफ of
भारती bharati
दर्पन darpan
आत्मिका atmika
चंदाज chandaj
इंडिया india
ट्वेन twain
बहुमंजिरी bahumanjiri
राजा raja
सुलोचण sulochan
कालिपदा kalipada
शरतचंद sharatchand
लाखगंगा lakhganga
की ki
रधाकुंद radhakund
कवठे kavathe
कुश kush
दिया diya
सबलगढ sabalgadh
फाळके falke
मेघमाला meghamala
आर्थर arthur
शेषगीरी sheshgiri
इंसान insaan
गोलेगाव golegaon
जगनमाता jaganmata
बैचर bacher
आसिम asim
पुसदा pusada
लैला laila
का ka
संजस्त sanjasta
सिमलताला simaltala
नादीरा nadira
मेडल medal
कैलॅमिटी calamity
कोस्टा costa
सावर्डे savarde
जयश्री jayshri
लेब्राडोर labrador
मोहरी mohari
प्राइज़ prize
ज्योतीस्वरुप jyotiswarup
नीचंद्र nichandra
दादरा dadara
धागा dhaga
कंधारी kandhari
अथार athar
कोंढापूरी kondhapuri
अकरम akram
अद्वाकी advaakee
अनिल anil
रघुनाथन raghunathan
दो do
जेम्सन jameson
आयाज ayaz
रवीदत्त ravidutt
गंधमोहिनी gandhmohini
ब्रॉडवाटर broadwater
शीशमहल sheeshmahal
वेस्ट west
गिरिष्मा girishma
आत्मा atma
बिनल binal
चिन्मयी chinmayi
नया naya
कामेश kamesh
मारमारा marmara
उधवा udhava
सिमली simali
रमानी ramani
कैस caisse
से se
मृनालिनी mrinalini
ज्ञानचंद dnyanchand
तानसातलाव tansatlav
शाहिद shahid
तरनतारन tarantaaran
सुजया sujaya
आर्टी artie
च्यूलु chyulu
आइलैंड island
गुप्ता gupta
उमरखेड umarkhed
शिरगाव shirgaon
पुसेगाव pusegaon
अचलेश्वर achaleswar
कनिष्ठा kanishtha
जमालऊद्दीन jamaluddeen
वेळंब velamb
अंजनीसुत anjanisut
हॉलिडे holiday
सदगुन sadgun
की ki
बैंगई bangui
हिरडव hirdav
बिसनसिंह bisanasinh
डैंगोआपोसी dangoaposi
सर्वेशय sarveshay
लामनगाव lamangaon
जोसि josie
ज़ाहराह zahrah
किशोर kishore
वार war
ममदाबाद mamdabad
आसिफ asif
शिनत shinat
स्लेड slade
रेश्मा reshma
ला la
मीनक्षी meenakshi
अवार्ड award
साहिबदेवा sahibdewa
गॉन्सियर goncire
देगाव्खुर्द degavkhurd
राम ram
पुरु puru
रकीब raqib
तिजुका tijuca
जबलपुर jabalpur
सुकेतु suketu
संतुष्टी santushti
स्निग्दा snigda
हसन hasan
भुमी bhumi
शिवशंकर shivshankar
सिता sita
नगरी nagari
भरवाडी bharwadi
एराचीवाडी erachiwadi
आजमगढ ajamgadh
बलावाला balawala
कळंदी kalandi
बस्ती basti
सोनपाडा sonpada
म्हसगण mhasgan
फज़िल्का fazilka
वाघेरा waghera
व्हिस्टलर whistler
राजा raja
यशवंत yashvant
गुरूद्वारा gurudwara
ओज़ार्क ozark
डोल्हारे dolhare
ईस्टबॉर्न eastbourne
महजा mahaja
गुणदरदेही gundardehi
अमलेंदु amalendu
पूजा pooja
डार्विन darwin
मेहरा mehara
शिरापूर shirapur
पेकार्ड packard
बैप्टिस्ट baptiste
क्षिरसागर kshirsagar
कलाहारी kalahari
द the
बेहता behata
प्रभद्रा prabhadra
इलेश ilesh
हॉन्सविज़्क honswijk
कांजली kanjali
टीसाइड teeside
नचिकेता nachiketa
औरंगपुर aurangpur
गुन्देरीप्पलम gunderippalam
नफी nafi
पुनिधन punidhan
धरेंद्र dharendra
चनपटिया chanpatia
ललिथा lalitha
खामहरिया khamhariya
पोरगव्हान poragwhan
रया raya
अंगराज angaraj
भानखेडा bhankheda
पोर्टेला portela
हरी haree
जाफर japhar
चापोली chapoli
हिन्दू hindu
देसुर desur
रियान ryan
गेरीता gerita
अचिर achir
स्टोरा stora
कोका coca
और aur
यूनिवर्सिटी university
गुजरात guj
बर्हानपुर barhanpur
डोंगरे dongare
मेहमूद mahmood
पिंजर pinjar
सेवा seva
चारु charu
प्रीस्ट priest
सुमैया sumaiya
सेबेस्टियन sebastian
रोहीताक्ष rohitaksh
सिकंदर sikandar
मंजित manjit
गीताश्री gitashri
अंधेर andher
मंगिया mangiya
कडती kadati
युबेरोथ ueberroth
का ka
रिज़रवायर reservoir
वही wohi
गुणवर्धिनी gunwardhini
दौलत daulat
श्रुजना shrujana
नोबल nobel
ज़ैदा zada
तेजस्वीनी tejaswini
श्रीरंग shrirang
यूनिवर्सिटी university
किरवे kirawe
अवार्ड्स awards
कार्तवीर्य kaartaveery
सृष्टी srushti
का ka
निप्पॉन nippon
पाटणकर patankar
धरम dharam
ब्लेडिंग blading
अँगारे angaarey
गवई gawai
फर्नेंडो fernado
खिरखुंड khirkhund
माउंट mount
सरोज saroj
हद्दाद haddad
परमदेवी paramdevi
मैकऑलिस्टर mcallister
हसिता hasita
अली ali
नागणसूर nagansur
जला jala
हृदयनाथ hridaynath
कोंढा kondha
सिहाम siham
कुसुम kusum
बालकृष्ण baalakrishna
हरदुआगंज harduaganj
आमटे amate
रुआपेहू ruapehu
पुरोहीत purohit
को ko
नासिह nasih
वसीम wasim
पनेसर panesar
की ki
कठोर kathor
हनुमान hanumaan
अकैशा akaisha
इंदुमित्र indumitra
फसीह faseeh
मुक्तेश्वरी mukteshwari
वाली wali
अनिरुद्ध aniruddha
बाबिना babina
अन्ना anna
धामणगाव dhamangaon
बॉलिवर bolivar
चाकरवाडी chakarwadi
रत्नागिरी ratnagiri
प्रतापचंदर pratapchandar
रुचिका ruchika
एकता ekata
गिरीवर giriwar
गोडल godel
ईरानियन iranian
में mein
शादी shaadi
दो do
मिलेनियम millennium
राजकन्या rajkanya
बिजानी bijani
सीवान siwan
दोनघ donagh
वावोशी vavoshi
मार्खेल markhel
नगिना nagina
मेसन maysun
मज़दूर mazdoor
नागपुर nagpur
शिरीन shirin
मंगरुर mangrur
भोजरस bhojras
जहीरा jahira
हुरडा hurada
जयंथा jayantha
कंठे kanthe
धाबा dhaba
चोरों choron
देल dale
लोणीवली lonivali
दिया diya
आखरे akhare
दरेगावराजा daregaonraja
परवेज paravej
असली asli
म्युज़ियम museum
स्वरीत swarit
देबाशीश debashish
बाल्कम balkham
इकबाल ikabaal
पोगर pogar
जढाळा jadhala
त्रिवेनी triveni
एर्नो erno
राधे radhe
बनकर bankar
खालयाळ khalyal
विग्रह vigrah
बेतकबिलोली betkabiloli
हनुमानगढ़ hanumangarh
रिचस्ट्रेसवेल्ड richtersveld
गूटी guti
सोनी soni
ऑडुबोन audubon
करकाळा karkala
मैल्कम malcolm
जोसेलिन jocelyn
पीर peer
बोएटा boeta
सास saas
स्टडी study
हॉल hall
अक्षय akshay
रामजानकी ramjanaki
खालापुरी khalapuri
सरस saras
मानपूर manpur
मुरंबी murambi
मुदा muda
बख्त bakht
बाद baad
झंडुमल zandumal
गज gaj
गुजाळवाडी gujalwadi
पीरकोन pirkon
भय्या bhayya
माधुरी maadhuree
करडा karada
अरामनी aramani
झोरुडी zorudi
जतिंदर jatindar
गणपूर ganpur
बेबी bebi
गुनाह gunah
सिटाडेल citadel
अनाद्य anadya
त्रिगुणी triguni
गडदगवन gadadgavan
गदरा gadra
फणी fani
माधुरीका madhurika
हदियाह hadiyah
ग्रीक greek
सुरेंद्र surendra
मेम mem
मेरे mere
फर्स्ट first
तारेश taresh
क्रेब्स krebs
निर्बन nirban
दिवेगाव divegaon
बयाना bayana
गुरेवाडी gurewadi
मॉघम maugham
एब्री abri
हेम hem
राखी raakhee
बिशप bishop
काटसुर katsur
जोगबला jogbala
गुरुजन gurujan
त्रिष्ना trishna
नरसिम्हा narsimha
कुरकुंभ kurkumbh
पाराशर parashar
अंपरा ampara
नानेगाव nanegaon
युरोपियन european
हरडप hardap
श्रीपती shripati
भादोडा bhadoda
चोराचिवाडी chorachiwadi
वनमाला vanamala
जनरल general
लेवरेट leverett
पुरी puri
माउस mouse
वाकी waki
फैजा faiza
कॉन्डोलीज़ा condoleeza
नाता naata
तायपेई taipei
प्रभास prabhas
बद्दूर baddoor
खिलौना khilona
ममता mamta
अवार्ड award
जानी jaani
तेजबिर tejbir
मीडो meadow
पांगू pangu
ठाकूर thakur
बाबलसूर babalsur
खोपराद khoprad
गल्फ gulf
निशोक nishok
झेबु zebu
दीप्तिमान diptiman
दिवेकर diwekar
बहुवा bahuva
बैंड band
दापोरी dapori
बोलेगाव bolegaon
फार्माकोलॉजी pharmacology
साहिब sahib
गोद god
धूप dhoop
टोएरे toere
चार्ल्स charles
फेरिस ferris
द the
चिंचोलीदहिफळ chincholidahifal
मदन madan
संगम sangam
भाटमार्ग bhatmarg
केन्ना kenna
मधुरम madhuram
अमोडी amodi
बोथा botha
गेरी gerry
ननवन nanwan
कार्ल karl
नागिन nagin
वडगाव vadgaon
सथाप्पन sathappan
इंदुमुखी indumukhi
मार्टिन martin
एण्ड्रयूस andrews
हवेली haveli
जेमा jemma
अजमल ajmal
रामाप्रभा ramaprabha
लक्ष्मीविलास laxmivilas
रुपेश्वरी rupeshwari
मुद्रिका mudrika
गर्सुली garsuli
भयप्रकाश bhayprakash
विकर्सन wickerson
परवेश parvesh
वासव्या vasavya
घुई ghui
लाडनांद्री ladnandri
जैमिसन jamison
हीरा heera
रक्सौल raksaul
खानपूर khanpur
बलजीत baljit
की ki
उंबरे umbare
सेंटीमोस centimos
रानीकोट ranikot
मनेर maner
गौथ ghauth
फोर्ट fort
द the
निमगाव nimgaon
शाहजहाँपुर shahjahanpur
डांगे dange
कागबन kagban
खुशबख्त khusbakht
ब्लैक black
तलत talat
पटल patal
शोमिली shomili
ट्रस्ट trust
बिनु binu
डेविड david
दरवेश darvesh
बंडवाडी bandwadi
पर्वित parvit
भुजंगा bhujanga
खुतर khutar
आग aag
लडनपूर ladanpur
फोर्ट fort
त्रिनाध trinadh
की ki
देवप्रयाग devprayag
ऑडर order
भगवंत bhagvant
हारीका harika
तनिका tanika
पौडी paudi
कलेर kaler
अव्रा awra
अजय ajay
दवणगाव dawangaon
सोमपती sompati
गुरु guru
ब्राम्हण्य brahmanya
अंकिता ankita
ईना ina
त्रिलोकचंद्र trilokchandra
ब्रिक brick
शैलेश shailesh
होंडळा hondala
नूर noor
भूमिका bhoomika
जौनपुर jaunpur
कूसखुर्द kuskhurd
मणेरी maneri
स्मिथ smith
जसकरन jaskaran
साँवरिया sanwaria
स्मृता smrita
आसमान aasman
हीरा hera
प्रेट्रोनॉस petronas
बहिरवाडी bahirwadi
समिधा samidha
निवघा nivagha
देवराय devray
अंशुपती anshupati
निखिल nikhil
मलाई malai
रमनवीर ramanveer
लिंगनूरनूळ lingnurnul
मुतावस्सित mutawassit
नवीना naveena
माळवाडी malwadi
घमंडी ghamandee
यमी yami
नंबिनी nambini
स्वर्ण swarna
मिलक milak
राधाकल्यानी radhakalyani
सदाविर sadavir
जगदीप jagdeep
कौठा kautha
सुर्यवंशी suryavanshi
कुंता kuntaa
चिंचोलीराव chincholirao
बोठबोदन bothbodan
शंघाई shanghai
कोल्ही kolhi
गुलाबराव gulabrao
शैतान shaitan
नाडाशी nadashi
पासक्वेल pasqual
इमस emas
पालिया paliya
इकचरी ekchari
लताशा latasha
देव dev
ज़ेन्ट्रले zentrale
दिप्तेन dipten
अवार्ड award
रूठा rootha
वेडीसगाव vedisgaon
त्रिलोकपती trilokpati
मंगलम mangalam
रूठा rootha
मोराठी morathi
माल maal
कोठीबिरवाडी kothibirwadi
लियॉन leone
अवार्ड्स awards
नगरकर nagarkar
मोहीनी mohini
शांक्सी shaanxi
नकली naqli
अब्बुदिन abbudin
प्राणवल्लभ pranvallabh
एक्टीविटी activity
दीप deep
सारियाह sariyah
श्रीमाधोपूर shrimadhopur
चरणजोत charanjot
ध्वनिका dhvanika
इरविन irvine
नानकमता nanakmata
रुमाल rumal
उसवान uswan
गुंजरगा gunjraga
माहिमदार mahimdar
परेवाडी parewadi
तेकनपुर tekanpur
पिनाक pinak
पद्मभुषण padmabhushan
लाला lala
ज़ेलीवॅगर zellweger
बनचिंचोली banchincholi
पोखरी pokhari
मधोगड madhogad
प्राइज़ prize
महल mahal
सी sea
अजित ajit
मजहब majahab
स्वाती svati
बाउल्स bowles
भूधर bhudhar
श्रवया shravaya
अमलतास amalatas
एकशिखा ekshikha
भाभर bhabhar
सुलगते sulagte
जन्या janya
टोकनटिंस tokantins
पहाड़ी pahadi
केसर kesar
भानुकेशर bhanukeshar
नाम naam
कारभानवाडी karbhanwadi
लियोना leona
एपल apple
अमृत amrit
कीनन keenan
रांजनगाव ranjangaon
ज्योतीप्रकाश jyotiprakash
सिवराज sivraj
भैरवदास bhairavdas
मुड़ mud
चंद्रस्वरुपा chandraswarupa
सौहार्द sauhaard
रूपर्ट rupert
फर्नेंडो fernando
ओक oak
कॉलिन colin
इहतिराम ihtiram
फोक folk
माउंट mount
पीरो piro
सिद्धी siddhi
सिराज़ुद्दौला sirazuddaula
तेजोवती tejovati
मनमाड manmad
सटाणा satana
जिऑफ geoff
कळमगाव kalamgaon
ग्लोबल global
खोतवाडी khotwadi
लीला leela
चेल्सी chaylse
आरा ara
लाल lal
वरखेड warkhed
पेंद्रा pendra
दिवशीबुद्रुक divshibudruk
ममता mamata
निर्मला nirmala
अरुना aruna
वडगावपान vadgavpan
साउथएंपटन southampton
वाकगाव vakgaon
बेलोरा belora
माना mana
राजस्थान rajasthan
रामकृष्ण ramkrishna
पोंक्षे ponkshe
आंचल anchal
वेलिन weylin
अमातुल्लाह amaatullah
हमीरा hamira
गुलफाम gulfam
तालबेहत talbehat
फिलिप philip
बेज bej
सागरिका sagarika
इंटरनेशनल international
गजानन gajanan
सूलागिरी soolagiri
मोर्खेड morkhed
हीरा heera
ऑस्ट्रेलियनवोगेल australianvogel
कंदस्वामी kandaswamy
दनियावान daniyawan
प्रभाथ prabath
दर्यापूर daryapur
रिज़रवायर reservoir
यासिर yasir
केरखेली kerkheli
मनेंद्र manendra
गोविंदहरी govindhari
मेघालय meghalaya
भगत bhagat
अन्नापूर annapur
जुबैर jubair
सखाराम sakharam
पानासरेह panasreh
नैस्कोपी nascopie
करमाह karamah
विश्वरुपा vishwarupa
मलकजाम malakjam
धानेरा dhanera
लिनोर linore
ट्रिस्टन tristan
मैकन macon
जोगराज jograj
सलमान salman
संधू sandhu
महादेव mahadeo
आरव arav
राहता rahata
रिज़रवायर reservoir
कुठरे kuthare
स्वेज़ suez
एंपायर empire
नीरा neera
महाळूंगे mahalunge
यामीनीपती yaminipati
मीर mir
शिवचरण shivcharan
मृन्मय mrinmay
चित्रित chitrit
तळे tale
अवनीश avanish
मंगला mangla
वेल्क्रो velcro
मित्रा mitra
कारली karali
वेन wayne
आग्रा agra
एल्डर्स elders
पेटे pete
पारकर parkar
ईशना ishana
बस्वा baswa
निळवंडे nilwande
डी di
भदोही bhadohi
खोत khot
अमृतप amritap
बरसगाव barasgaon
कॉक्स cox
जस्सी jassi
पापी papi
कब kab
वार war
वॉ waugh
आयता ayata
बिल bill
बालगोपाल balgopal
वरमाउंट vermont
शोभिता shobhita
शेषण sheshan
हनमंतवाडी hanmantwadi
कुरळी kurali
राम ram
दूरगौती durgauti
माणकलाल maanakalaal
रीडाउट redoubt
भारत bharat
शिवा shivaa
चक्रबंधु chakrabandhu
पाडेवाडी padewadi
बिश्रामपुर bishrampur
दहिफळ dahifal
रामलीन ramlin
सीमेंट्स cements
झुकता jhukta
वनलता vanlata
कॉर्पोरेशन corporation
रिकार्डो ricardo
सहावर sahawar
कृष्णानंद krishnanand
पाली pali
सलाम salaam
कोल्हटकर kolhatkar
जसवंत jasvant
पॉवर power
कोयील koil
दोनज donaj
बिजावडी bijawadi
एल्विन alvin
ब्रजबिहारी brajbihari
राहत rahat
फिर phir
आप aap
वीनर wiener
लैक lac
रुपकल्पा rupkalpa
पादुकोन padukon
लोहिता lohita
आचार्य aacharya
गुनाह gunah
सिंघवी singhvi
बोधन bodhan
शैला shaila
कैलाश kailash
बरवा barwa
सुखजिव sukhjiv
मारगौक्स margaux
एक ek
नीपा neepa
लालठण lalthan
अवेटी aveti
नीलांजना neelanjana
मिल्ट milt
अश्वकेतु ashwaketu
कांतेहल्ली kantehalli
राजेशप्रसाद rajeshprasad
खर्गोने khargone
सोमप्रताप sompratap
म्हसकेवाडी mhaskewadi
चेन्नई chennai
गुनावाडी gunawadi
मसनखेडा masankheda
अद्वाकी advakee
चिंचवड chinchwad
देवप्रीत devpreet
खाडी khadi
डम dum
ऑरली orly
मोदी modi
बावला bavla
फराह farah
केवडवाडी kevadwadi
लिमिटेड limited
तौलिक taulik
नवसारी navsari
सिंघाना singhana
हॉल hall
अश्विनी ashvini
चिखलगाव chikhalgaon
गोला gola
मैरीलियर marillier
नॅटशेज़ natchez
गौरंगा gauranga
रघुबीर raghubir
शीशम shisham
महापात्र mahapatra
कैतिर caitir
कुडूक kuduk
वाढोकार vadhokar
सुभाषचंद्र subhaashachandr
प्रभगुन prabhgun
एण्ड्रयू andrew
सच्चाई sachai
नंदकुमारी nandkumari
अमलिका amalika
है hai
प्रीत prit
की ki
विश्वंभरा vishwambhara
वेनसिया venecia
धरनौदा dharnaoda
रिचर्ड richard
शुभेंद्र shubhendra
प्रगोश pragosh
अक्षर akshar
बहादुर bahadur
इंद्र indra
डेरबैकी derbacki
हैरडेंजर hardanger
नाडसुर nadsur
छाब्रातांडा chhabratanda
बित्रागुंटा bitragunta
देवधरकर devdharkar
जोधपुर jodhpur
अम्लाई amlai
बाकेवाड bakewad
गैस्टन gaston
एंग्लो anglo
पेन penn
माथजळगाव mathjalgaon
शीला sheelaa
टेनग्गर tengger
कटा kata
जिऑफ geoff
कनिष्का kanishka
एलैना alaina
राजेश्री rajeshri
नागझिरा nagzira
शॉन shaun
रुहानी ruhani
अक्षयकुमार akshaykumar
किर्तीमान kirtiman
लोडुर्वा lodurwa
बेवन bevan
सगुणा saguna
गोपिका gopika
फ्लोरिना florina
धनगरवाडी dhangarwadi
वर्ट wirt
भवन bhavan
सच्चे sachche
कोलुर kolur
बाक़ी baaqi
बरहालगंज barhalganj
दिपचंद dipchand
साराकत्सनोई sarakatsanoi
विपिन vipin
श्रीमायी shrimayi
माणगाव mangaon
जळकेवाडी jalkewadi
राजिन्द्र rajindra
म्युज़ियम museum
नॉरडिस्का nordiska
आंबवली ambvali
लखन lakhan
जेम्स james
बंदकी bundki
चंद्रकिशोर chandrakishor
बैरॉ barrow
रामनगर ramnagar
निती niti
मालसी malasi
रणसिंग ransingh
संगमनेर sangamner
टरेट्स turrets
कळझोंडी kalzondi
क्वीले quayle
आखाड akhad
बांद्रा bandra
वॉटरटॉन waterton
विरया viraya
पुलगाव pulgaon
कॉर्टेनेर kortenaer
खलील khalil
एक ek
तुकाराम tukaram
आश्रम ashram
समंदर samundar
फ़कीर faqir
सोनिया sonia
मिट्टन mitten
चिरंतन chirantan
मनसुख mansukh
इरला irala
मोठेवाडी mothewadi
भक्त bhakt
मिहोना mihona
निहालवाडी nihalwadi
चिंचवली chinchvali
मेडल medal
कविता kavita
जॉन john
चेल्लामणी chellamani
धन्यवाद dhanyawad
एनल enel
लव love
पराया paraya
गीत geet
ज़ख्मी zakhami
हॅले haley
सिक्ता sikta
अर्पणा arpana
मनोरमा manorama
खरगुपुर khargupur
राजगढ rajgadh
स्पूर्ती spurti
एमोरी amory
मुन mun
खुरा khura
खुपगाव khupgaon
रिपर ripper
मासाळ masal
वॉन won
सत्यवादी satyawadi
इवलेश्वरा iwleshwara
एकराज ekraj
जीवनकला jivankala
माधवदास madhavdas
बिखरे bikhare
देशपांडे deshpande
गड़वाल gadwal
निर्भिक nirbhik
बुधोडा budhoda
जानू janoo
शशिबाला shashibala
नाखेगाव nakhegaon
लालड़ू laladu
नोथ nothe
ज्ञानपीठ jnanpith
कराह qaraah
रॉबिन robin
मैसूर mysore
अब्दुस abdus
बिजोरा bijora
विक्रम vikram
डिप्पेनार dippenaar
सुब्रत subrat
मुरसान mursan
सनम sanam
सर्बिनी sarbini
ग्रेन्टेक grentech
डबोई daboi
धर dhar
चमन chaman
हंगेरियन hungarian
नगर nagar
डेवीस davies
हरीशचंद्र harishchandra
दहीवंडी dahivandi
गंगादेव gangadeo
बोलडा bolada
कुवरदेव kuwardeo
खवलाह khawlah
सायार sayar
कळमांबा kalmamba
शिंगाडे shingade
हेस hayes
एश्टीन ashtyn
मेरिट merit
रामनाथ ramnath
जाफरी japhari
मुकुटधारी mukutadhaaree
करंजाडे karanjade
दिपलातांडा diplatanda
तुम tum
जेमिनी gamini
हमारी hamari
संयम sanyam
अविचल avichal
मंगाई mangai
वॉल्क्सवेज़न volkswagen
एडीसन edison
जमजोधपूर jamjodhpur
अनंतपुर anantpur
जनसुधा jansudha
जायफळ jayfal
प्रुडेन्शियल prudential
ड्रीमा dreama
आयूब ayub
शमिर shamir
लोखंडे lokhande
बहादुरा bahadura
श्याम shyam
चीवली chivali
हिवरे hivare
वडवळी vadvali
अजंता ajanta
भादणे bhadane
कळंबेश्वर kalambeshwar
बिल्ली billi
सुनंदन sunandan
लोह loh
देवदास devdas
आर्वी arvi
विभु vibhu
सुगरन sugran
कल्पेश kalpesh
मोढेरा modhera
तमन्ना tamanna
बादल badal
कुरुंद kurund
नमिश namish
तवलीन tavleen
उस्तळखालसा ustalkhalasa
संजवेश sanjvesh
अभिनभास abhinbhaas
कामराज kamraj
अनुवृंदा anuvrinda
स्पॉन्ज़ sponge
गाय guy
चनेगाव chanegaon
जैगर jaegar
वडझरी vadzari
रामरती ramrati
फ़ाइनेंशिएरो financiero
ओर्च्चा orchcha
खुमकर khumkar
लीला leala
व्हिटमॅन whitman
रूज़िन ruzyne
सुजना sujana
शिवाजीनगर shivajinagar
म्युज़ियम museum
अवार्ड award
ऑफ of
अमळनेर amalner
सौमिनी saumini
सुखप्रीत sukhpreet
अभिलाश abhilash
शत्रुघ्न shatrughna
रगूनाथ ragoonath
हैम्ब्लेन hamblen
अग्नी agni
उक्कडगाव ukkadgaon
दीपज्योती dipjyoti
परिंचे parinche
खम्भा khambha
कैंनटॉनमेंट cantonment
ऑफ of
जीरेवाडी jirewadi
सुपा supa
म्युज़ियम museum
प्रांतिज prantij
मुदित mudit
मधुरलालसा madhurlalasa
वदीयु vadiyu
कळंबी kalambi
फोर्ट fort
पिंपळद pimplad
शुलिनी shulini
भुवनराज bhuvanraj
अलैरिक alaric
एल्मोर elmore
मंगोली mangoli
मेहनत mehnat
महेश mahesh
मनोकामना manokamana
नंजिंग nanjing
कोतवडे kotvade
मकरमपूर makrampur
निमित nimit
थार्या tharya
खोडेगाव khodegaon
फिल phil
रेबन rayban
प्रिंट print
लंबोदर lambodar
काशेलानी kashelani
दमयंती damyanti
एडमिरैल्टी admiralty
माथापिंप्री mathapimpri
कैरोन caron
कीने keene
सौरिख saurikh
सायुरी sayuri
कृष्ण krishna
रात raat
वर्ल्ड world
अकल्मश akalmash
राजुर rajur
तानपुरा tanpura
विल्हेम wilhelm
पॉईंट point
एस्पेरेन asperen
ए e
तलाजा talaja
तांभोळ tambhol
नेने nene
आंबेडकर ambedkar
हेसेन hessen
नेरपिंगळी nerpingali
गोपतपिंपळा gopatpimpala
एकछत्र ekchhatra
फॉर for
अचंद achand
लाखिवली lakhivali
सौजन्य saujany
विदाद widad
ऑफ of
भिसेगाव bhisegaon
पहासु pahasu
हेडगेवार hedgewar
कुरवाई kurvai
सातारकर satarkar
यास्मीन yasmin
विध्यालक्ष्मी vidhyalaxmi
मूंदिया mundia
मानुसधारी manusdhari
मालिनी malini
जिरापुर jirapur
दमदमा damdama
मौरवन maurvan
कुर्थातळणी kurthatlani
करिम karim
महल mahal
सुस्मित susmit
सगन sagan
कडोली kadoli
बबली babali
बैंकियाओ banqiao
पुष्पकर pushpakar
गुरूद्वारा gurudwara
स्टिलमैन stillman
डवंगे davange
गिरधारी girdhari
ब्रुनेल brunel
दो do
अनंतनाग anantnag
फरहत farhat
स्कूल school
आदित्यकेशव aaditykeshav
दादा dada
छोटी chhoti
मार्डी mardi
नियति niyati
कर्मा karma
प्रीती priti
जीयानपुर jiyanpur
बसमत basmat
मोहब्बत mohabbat
मनसादेवी mansadevi
अमर amar
अशलेशा ashlesha
अलम alam
लखमपूर lakhampur
मिटचॅम mitcham
सियांग siyang
मालेगाव malegaon
वाढ़ेर vadher
फोर्ट fort
प्रभ्रुप prabhrup
साल saal
बारामुआ baramua
डे de
एकलव्य eklavya
मोहरली mohrali
लवाळी lawali
कसौटी kasauti
बीना bina
पोफळशिवानी pophalshivani
भभुआ bhabhua
साधना sadhana
मरुनदीस्वरार marundeeswarar
हरडा harada
रसेल rasel
नानी nani
महेशबंधु maheshbandhu
राजन rajan
मेरे mere
कुंदा kunda
सुधामाला sudhamala
स्पोर्ट्स sports
ब्रेडनबर्ग brandenburg
डेल del
कोतळवाडी kotalwadi
तिसगाव tisgaon
लिस्बन lisbon
भोरीपगाव bhoripgaon
कैमोमाइल chamomile
गजमुक्ता gajmukta
की ki
सन्दीपिका sandipika
ढेकनमोह dhekanmoh
बोटोशी botoshi
डिकिन्स dickens
भद्रक्ष bhadraksh
तिरुमलाई thirumalai
वस्ती wasti
फॉन fawn
टुलसा tulsa
शिवदेव shivdeo
विलियमसन williamson
देवपाल devpal
पताला patala
प्रांजल pranjal
हैं hain
तारीख tareekh
अज़राक azaraaq
भंजन bhanjan
सस्वीत saswit
केंद्रबुद्रुक kendrabudruk
बैंस bains
अभिनाथ abhinath
दुराईसिंगम duraisingam
देवकृष्ण devkrishna
जवहर javhar
दैठनरडी daithanradi
बरकाह barakah
मुदेरगाव mudergaon
राजापूरवाडी rajapurwadi
आराधना aradhana
दीपशिखा dipshikha
एलिटा elita
अजरदाह ajradaah
केशराज keshraj
मैलिसे malise
दिवामणी divamani
रामदुलारी ramdulari
विश्वनाथ viswanath
लड़की ladki
अर्वा arva
अभयनन्दा abhaynandaa
अंबा amba
टिटवाळा titwala
अवार्ड award
स्टेशन station
कंध kandh
लैंब lamb
उत्कंठा utkantha
डैम dam
धसई dhasai
बुदनी budani
मुस्कान muskan
कुरतडी kurtadi
भोकरहेडी bhokarhedi
रंदी randi
गंगा ganga
अद्वितेया adviteya
टॉरेंस torrance
प्रिकेट्स pricketts
डिज़्नी disney
लंडन london
भंजन bhanjan
कनेक्टीकट connecticut
शर्ला sharla
म्युज़ियम museum
रेवा reva
महीदास mahidas
हय hayy
चैस chas
डेवे dewey
पुष्पाकर pushpakar
बौंली baunli
सीताराम sitaram
भुली bhuli
कमरवाडी kamarwadi
सुमेधा sumedha
मालगणी malgani
विजय vijay
इराय irai
पंजाब punjab
केम्पबेल campbell
बेला bela
रबिंद्र rabindra
बैंडोनियन bandoneon
शोबा shoba
मेरा mera
शहरटाकळी shahartakali
काजेगाव kajegaon
मन man
पिंपळकौठा pimpalkautha
ऑफ of
रैडज़्की radetzky
कांचनलता kanchanlata
शौरी shourie
द the
निध nidh
दहीसावली dahisavali
महीपती mahipati
शोत्री sarwate
प्रदर्शु pradshuu
निमगाड nimgad
द्हीपल dhipal
बापळे bapale
विलोक vilok
चाता chata
हिरांक्षी hirankshi
शमशेरा shamshera
कुलकर्णी kulkarni
शिधोरे shidhore
मजलापूर majlapur
बालक balak
हाउस house
वासुदेव vasudeo
द्रुपद drupad
घोडेगाव ghodegaon
